context,condition,study,human.response,feature1,feature2,feature3,feature1b,feature1c,scenario,statement,feat2_cat,feat3_cat,feat1_cat,first_response,second_response,third_response,predf2,predf3,predf1,gpt_feature2,gpt_feature3,gpt_feature1,feat2_rand,feat2_rands,feat3_rand,feat3_rands,feat1_rand,feat1_rands
no.class,noise,cannonball,0.837837837837837,0.013513513513513,0.04391891891892,0.121621621621622,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, there is no art class. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, there is no art class. This kid cannonballs into the pool.
Question: ",1. not at all,2. a little,1. definitely no,"

not at all","
The kid did not need to cannonball into the pool at all.","
definitely no",1. not at all,1. not at all,1. definitely no,4,4,4,3,4. a whole lot,2,3. a lot,0,1. definitely no
paint.balloons,splash,cannonball,0.3,0.646666666666668,0.023333333333333,0.08,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, the kids in the art tent are popping paint balloons to make their art projects, which is really noisy. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, the kids in the art tent are popping paint balloons to make their art projects, which is really noisy. This kid cannonballs into the pool.
Question: ",1. not at all,1. not at all,4. definitely yes,"

That did not help anyone else at all.","
The kid needed to do that a lot.","
definitely no",1. not at all,3. a lot,1. definitely no,4,2,4,3,4. a whole lot,0,1. not at all,3,4. definitely yes
no.class,splash,cannonball,0.85,0.036666666666668,0.043333333333332,0.146666666666668,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, there is no art class. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, there is no art class. This kid cannonballs into the pool.
Question: ",1. not at all,2. a little,1. definitely no,"

not at all","
The kid needed to do that a whole lot.","
definitely no",1. not at all,4. a whole lot,1. definitely no,4,1,4,0,1. not at all,0,1. not at all,2,3. maybe yes
paint.balloons,noise,cannonball,0.570945945945945,0.317567567567568,0.037162162162163,0.094594594594595,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, the kids in the art tent are popping paint balloons to make their art projects, which is really noisy. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, the kids in the art tent are popping paint balloons to make their art projects, which is really noisy. This kid cannonballs into the pool.
Question: ",1. not at all,1. not at all,2. maybe no,"

That kid cannonballing into the pool did not help anyone else at all.","
The kid needed to do that a lot.","
definitely yes",1. not at all,3. a lot,4. definitely yes,4,2,1,2,3. a lot,0,1. not at all,1,2. maybe no
phone,noise,cannonball,0.472972972972972,0.641891891891893,0.445945945945945,0.226351351351353,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, the camp counselor dropped their phone in the pool by accident. This kid is trying to get the phone out of the water. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, the camp counselor dropped their phone in the pool by accident. This kid is trying to get the phone out of the water. This kid cannonballs into the pool.
Question: ",4. a whole lot,3. a lot,4. definitely yes,"

not at all","
The kid needed to cannonball into the pool a whole lot.","
definitely yes",1. not at all,4. a whole lot,4. definitely yes,4,1,1,3,4. a whole lot,3,4. a whole lot,2,3. maybe yes
tarp,splash,cannonball,0.786666666666668,0.06,0.03,0.096666666666668,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, there is a covering around the tent that will block the art inside from any splashing. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, there is a covering around the tent that will block the art inside from any splashing. This kid cannonballs into the pool.
Question: ",1. not at all,1. not at all,1. definitely no,"

not at all","
The kid needed to do that a lot.","
definitely no",1. not at all,3. a lot,1. definitely no,4,2,4,3,4. a whole lot,0,1. not at all,1,2. maybe no
rain,splash,cannonball,0.703333333333332,0.406666666666668,0.043333333333332,0.11,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, it is raining outside, and the art in the art tent already got wet and ruined. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, it is raining outside, and the art in the art tent already got wet and ruined. This kid cannonballs into the pool.
Question: ",1. not at all,2. a little,3. maybe yes,"

not at all","
The kid did not need to cannonball into the pool at all.","
definitely yes",1. not at all,1. not at all,4. definitely yes,4,4,1,2,3. a lot,3,4. a whole lot,1,2. maybe no
small.kid,noise,cannonball,0.432432432432432,0.408783783783785,0.04391891891892,0.06418918918919,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, this kid is so small that she never makes a loud sound when she cannonballs but still makes a big splash. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, this kid is so small that she never makes a loud sound when she cannonballs but still makes a big splash. This kid cannonballs into the pool.
Question: ",1. not at all,1. not at all,3. maybe yes,"

That helped someone else a little.","
A little","
definitely no",2. a little,2. a little,1. definitely no,3,3,4,3,4. a whole lot,2,3. a lot,1,2. maybe no
small.kid,splash,cannonball,0.316666666666668,0.626666666666667,0.02,0.073333333333333,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, this kid is so small that she never makes a loud sound when she cannonballs but still makes a big splash. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the art wouldn’t get ruined by the splashing water. Today, this kid is so small that she never makes a loud sound when she cannonballs but still makes a big splash. This kid cannonballs into the pool.
Question: ",1. not at all,1. not at all,4. definitely yes,"

That helped someone else a little.","
The kid needed to do a little.","
definitely no",2. a little,2. a little,1. definitely no,3,3,4,2,3. a lot,1,2. a little,0,1. definitely no
tarp,noise,cannonball,0.486486486486488,0.452702702702703,0.033783783783785,0.06418918918919,,,"At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, there is a covering around the tent that will block the art inside from any splashing. This kid cannonballs into the pool.","Consider this situation and answer the question that follows:
Situation:At a summer camp, there is a pool. Right next to the pool is a tent where the kids at the camp have art class. The camp made a rule that there would be no cannonballing in the pool so that the kids in the art tent wouldn’t be distracted by the noise. Today, there is a covering around the tent that will block the art inside from any splashing. This kid cannonballs into the pool.
Question: ",1. not at all,1. not at all,3. maybe yes,"

not at all","
The kid needed to do that a whole lot.","
definitely no",1. not at all,4. a whole lot,1. definitely no,4,1,4,1,2. a little,2,3. a lot,2,3. maybe yes
