context,condition,study,human.response,feature1,feature2,feature3,feature1b,feature1c,scenario
bleachlawn,gun,blue.house,0.866666666666667,1.0,22348.9,520000000.0,,,"Imagine that a stranger tells Hank to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request."
blueoutsidedoor,thousand,blue.house,0.174603174603175,1.0,1611.0,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
breakwindows,gun,blue.house,0.816666666666667,1.0,47226.9,520000000.0,,,"Imagine that a stranger tells Hank to break all the windows in his neighbor's house without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request."
breakwindows,hundred,blue.house,0.033333333333333,1.0,47226.9,100.0,,,Imagine that a stranger will give Hank one hundred dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
breakwindows,hunthousand,blue.house,0.081967213114754,1.0,47226.9,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
breakwindows,tenthousand,blue.house,0.067796610169492,1.0,47226.9,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
breakwindows,thousand,blue.house,0.063492063492064,1.0,47226.9,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
erasemural,gun,blue.house,0.866666666666667,1.0,10011854463.4,520000000.0,,,"Imagine that a stranger tells Hank to paint over a mural that his neighbor's daughter painted without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request."
erasemural,hundred,blue.house,0.05,1.0,10011854463.4,100.0,,,Imagine that a stranger will give Hank one hundred dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
erasemural,hunthousand,blue.house,0.131147540983607,1.0,10011854463.4,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
erasemural,million,blue.house,0.145161290322581,1.0,10011854463.4,1000000.0,,,Imagine that a stranger will give Hank one million dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
erasemural,tenthousand,blue.house,0.084745762711864,1.0,10011854463.4,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
blueoutsidedoor,tenthousand,blue.house,0.186440677966102,1.0,1611.0,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
erasemural,thousand,blue.house,0.095238095238095,1.0,10011854463.4,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
razehouse,hundred,blue.house,0.033333333333333,1.0,3958400.8,100.0,,,Imagine that a stranger will give Hank one hundred dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
razehouse,hunthousand,blue.house,0.016393442622951,1.0,3958400.8,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
razehouse,million,blue.house,0.032258064516129,1.0,3958400.8,1000000.0,,,Imagine that a stranger will give Hank one million dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
razehouse,tenthousand,blue.house,0.084745762711864,1.0,3958400.8,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
razehouse,thousand,blue.house,0.079365079365079,1.0,3958400.8,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
smearpoop,gun,blue.house,0.9,1.0,10026555.25,520000000.0,,,"Imagine that a stranger tells Hank to smear dog poop all over his neighbor's front step without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request."
smearpoop,hundred,blue.house,0.033333333333333,1.0,10026555.25,100.0,,,Imagine that a stranger will give Hank one hundred dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
smearpoop,hunthousand,blue.house,0.262295081967213,1.0,10026555.25,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
